Case,Query,Top Match Score,Match Type,String Score,Semantic Score,Match 1,Score 1,Match 2,Score 2,Match 3,Score 3,Match 4,Score 4,Match 5,Score 5
27,Lancet Software,100.00%,exact,1.0000,6.1951,Lancet Software,100.00%,Lancet Technology,76.83%,"Lancet Technology, Incorporated",72.39%,JAT Software,71.43%,CAS Software,71.26%
28,Our Lady of the Lakes Catholic Church and School,100.00%,exact,1.0000,4.8732,Our Lady of the Lakes Catholic Church and School,100.00%,OUR LADY OF THE LAKES CATHOLIC CHURCH,88.83%,Our Lady of the Lakes Catholic School,87.91%,Our Lady of the Lake Roman Catholic Church,83.62%,Our Lady of the Lake Catholic Church,80.29%
29,Broadway Bound International,100.00%,exact,1.0000,6.0455,Broadway Bound International,100.00%,Broadway Bound West,87.19%,Broadway Bound Kids,85.76%,Bound Four Broadway,85.71%,Broadway Bound Studio,85.57%
30,E. H. Wachs,100.00%,exact,1.0000,5.3830,E. H. Wachs,100.00%,E.H. Wachs,61.28%,Wachs Water Services,58.18%,Wachs / Russell Wedding,57.45%,Wachs Services,57.15%
31,Marine Corps Fox 2/5,100.00%,exact,1.0000,5.6733,Marine Corps Fox 2/5,100.00%,United State Marine Corps,77.04%,Marine Corps Personnel Support,76.93%,American US Marine Corps,76.90%,MARINE CORPS BASE CAMP,76.89%
32,Fantasia Turistica,100.00%,exact,1.0000,6.5232,Fantasia Turistica,100.00%,Fantasia Travels,77.55%,Fantasia Travel,76.65%,Fantasia Accessry,75.39%,Ferrari Fantasia,75.12%
33,Esoterix,100.00%,exact,1.0000,6.2666,Esoterix,100.00%,Esoterix Headquarters,85.89%,Esoterix Integrated Genetics,83.75%,CENTRIX,42.58%,Metrix,42.55%
34,Coker Group,100.00%,exact,1.0000,6.3617,Coker Group,100.00%,The Coker Group,90.08%,Coker College,85.75%,Coker Family Reunion,85.67%,Coker Consultants,84.86%
35,GILEAD IT,100.00%,exact,1.0000,6.3824,GILEAD IT,100.00%,Gilead Productions,77.28%,Gilead Science,77.26%,Gilead Sciences,76.99%,Gilead 1N,76.77%
36,4143 Affiliate INDA 2016,100.00%,exact,1.0000,6.0685,4143 Affiliate INDA 2016,100.00%,1528 Affiliate INDA 2016,84.11%,4143 Affiliate Aan 2017,75.58%,430 Affiliate ALA 2016,72.18%,1035 Affiliate CASE 2016,71.30%
37,Pipe and Plant Solutions,100.00%,exact,1.0000,5.9348,Pipe and Plant Solutions,100.00%,Pipe & Plant,79.49%,Advanced Pipe Solutions,78.91%,TV Pipe Solutions,73.75%,Infra Pipe Solutions,73.69%
38,Stephen Rourke,100.00%,exact,1.0000,6.7151,Stephen Rourke,100.00%,Rourke Publishing,73.36%,Damon Rourke,72.66%,Rourke Manufacturing,71.54%,Rourke Rooms,68.93%
39,MIT Initiative on the Digital Economy,100.00%,exact,1.0000,5.2696,MIT Initiative on the Digital Economy,100.00%,MIT Energy Initiative,55.71%,MIT Information Services and Technology,44.17%,MIT INFORMATION SERVICES,42.05%,MIT Information Systems,40.58%
40,Urx Community USA,100.00%,exact,1.0000,6.0693,Urx Community USA,100.00%,USA Community Service Commission,72.07%,Florida Urological Society USA,59.57%,Uratta National Association USA,56.79%,URX Conference,51.90%
41,Spredfast Engage,100.00%,exact,1.0000,5.6944,Spredfast Engage,100.00%,Spredfast Events,77.66%,Spredfast Product,73.88%,Spredfast,67.51%,Shredfast,39.50%
42,City of Dallas-Parks & Recreation,100.00%,exact,1.0000,5.4947,City of Dallas-Parks & Recreation,100.00%,City of Dallas Park & Recreation,87.04%,Dallas Parks and Recreation Department,86.55%,Dallas Parks and Recreation Dept,86.49%,City of Dallas Park & Recreation Department,84.34%
43,"Kai Pono Builders, Inc.",100.00%,exact,1.0000,4.9379,"Kai Pono Builders, Inc.",100.00%,Kai Pono Builders,95.62%,Pono Kai Resort,73.30%,Pono Kai,67.69%,Kai Partners,53.09%
44,MUSICFIRST COALITION,100.00%,exact,1.0000,6.3148,MUSICFIRST COALITION,100.00%,music FIRST Coalition,75.99%,Future of Music Coalition,74.26%,District New Music Coalition,73.61%,Coalition BEATS Music Program,72.91%
45,Frontier Power Products,100.00%,exact,1.0000,6.8330,Frontier Power Products,100.00%,Frontier Business Products,79.01%,Frontier Natural Products,76.74%,Advanced Power Products,76.41%,Worldwide Power Products,76.35%
46,1960,100.00%,exact,1.0000,6.9894,1960,100.00%,District 1960,85.36%,60,81.09%,Playhouse 1960,80.32%,1960 Family Practice,80.17%
47,Pacific Northwest Diabetes Research Inst,100.00%,exact,1.0000,5.6710,Pacific Northwest Diabetes Research Inst,100.00%,Pacific Northwest Diabetes Research,83.86%,Diabetes Research,59.03%,Diabetes Research Wellness Foundation,57.30%,Junior Diabetes Research Foundation,57.07%
48,Mentors & Mentees,100.00%,exact,1.0000,5.8988,Mentors & Mentees,100.00%,RE Mentors,75.66%,TRUE Mentors,75.60%,Master Mentors,75.53%,3 Mentors,75.20%
49,NaLA 2024 fall conference M01709226216947 02-29-24 12:03:46,100.00%,exact,1.0000,4.6847,NaLA 2024 fall conference M01709226216947 02-29-24 12:03:46,100.00%,NaLA 2023 fall conference M01674569043113 01-24-23 09:04:06,69.42%,NaLA 2023 fall conference M01674661235470 01-25-23 10:40:54,67.18%,NALSC 2024 Annual Conference M01680804350265 04-06-23 14:05:56,44.72%,HBMA 2024 Fall Conference,40.62%
50,Donnelley Work Session,100.00%,exact,1.0000,6.0390,Donnelley Work Session,100.00%,SMDS Work Session,72.66%,Donnelley Financial Services,56.48%,Experience Session 5,55.60%,Donnelley Financial Solutions,54.58%
51,North Shore Senior Center,100.00%,exact,1.0000,6.1147,North Shore Senior Center,100.00%,North Shore Cancer Center,84.81%,Northshore Senior Center,84.46%,Coastal North Town Center,82.32%,North Shore Elder Services,82.08%
52,Singles Who Like Food & Fun,100.00%,exact,1.0000,5.2373,Singles Who Like Food & Fun,100.00%,Fun Asian Singles,55.23%,Christian Singles Fun Events,55.11%,Fun Social Singles 35+,54.97%,Food Fun & Fellowship,50.76%
53,Zen Meetings & Events,100.00%,exact,1.0000,6.0922,Zen Meetings & Events,100.00%,Zen Events México,77.55%,Zen Events Group,72.54%,"Zen Events, LLC",66.81%,Zen at Work,62.04%
54,Chicago South Swim Club,100.00%,exact,1.0000,6.3264,Chicago South Swim Club,100.00%,South Carolina Swim Club,82.43%,South West Florida Swim Club,81.25%,South Metro Storm Swim Club,78.51%,Baltimore City Swim Club,77.99%
55,"Edna, Dabra@SAP.IO",100.00%,exact,1.0000,5.0530,"Edna, Dabra@SAP.IO",100.00%,Edna Owusu,75.67%,Edna Rose,75.04%,Edna Travel,74.48%,Edna ISD,74.09%
56,Boys and Girls Club of Dawson Community Centre,100.00%,exact,1.0000,4.9551,Boys and Girls Club of Dawson Community Centre,100.00%,GIRLS CLUB,53.99%,Dawson Community College,51.24%,DAWSON COMMUNITY BLUES,50.67%,GIRLS Bridge Club,48.10%
57,Beissbarth,100.00%,exact,1.0000,5.6056,Beissbarth,100.00%,Beissbarth GmbH,88.13%,Breitbart,42.39%,Bitbar,42.34%,Brietbart,40.35%
58,US Night Vision,100.00%,exact,1.0000,6.3599,US Night Vision,100.00%,PM Night Vision,81.50%,US Vision Care,79.56%,Night Vision Entertainment,79.47%,Night Vision Manufacturers,79.36%
59,"Amedysis, Incorporated",100.00%,exact,1.0000,5.5022,"Amedysis, Incorporated",100.00%,"Amedysis, Inc.",95.84%,Amedysis Home Health,89.46%,Medysis,55.16%,Avysis,45.95%
60,"Taiyo Air Service Co.,Ltd",100.00%,exact,1.0000,5.0738,"Taiyo Air Service Co.,Ltd",100.00%,Taiyo Air Services Co.,78.81%,Fuyo Air Service Co. Ltd.,73.74%,CITS Taikoo Air Service Ltd,72.77%,Air Service Development,65.24%
61,National Conference on Race & Ethnicity in American Higher E,100.00%,exact,1.0000,4.7141,National Conference on Race & Ethnicity in American Higher E,100.00%,NATIONAL CONFERENCE ON RACE AND ETHNICITY IN AMERICAN HIGHER,88.77%,NCORE NATIONAL CONFERENCE ON RACE AND ETHNICITY IN AMERICAN HIGHER EDUCATION,86.35%,National Conference On Race & Ethnicity In America Higher Ed,86.33%,National Conference on Race & Ethnicity in AM Higher Education,82.79%
62,Reminger Law Firm,100.00%,exact,1.0000,5.6767,Reminger Law Firm,100.00%,Reminger & Reminger Law Firm,97.03%,Withers Law Firm,82.31%,S Law Firm,81.90%,Speer Law Firm,81.83%
63,SEMMOA BOD,100.00%,exact,1.0000,5.4166,SEMMOA BOD,100.00%,SEMMOA AACM,73.98%,Bod Pro,73.49%,SEMMOA Coop,73.17%,CSA BOD,72.17%
64,Telefonica Global Solutions,100.00%,exact,1.0000,5.4480,Telefonica Global Solutions,100.00%,Telefonica Multinational Solutions,90.11%,Telefonica Global Solutions USA Inc.,90.08%,TELEFONICA INTERNATIONAL USA,71.69%,Telefonica International USA Inc,70.01%
65,Travel Leaders - Dube Travel,100.00%,hybrid,1.0000,5.8009,Dube Travel Leaders,100.00%,Travel Leaders - Dube Travel,100.00%,Dube Travel / Travel Leaders,93.38%,Dube / Travel Leaders,92.16%,Dube Travel/Travel Leaders,88.71%
66,Hi- Tours,100.00%,exact,1.0000,5.8173,Hi- Tours,100.00%,Hi Tours,93.00%,Hi Life Tours,91.61%,HI LITE TOURS,89.90%,Hi-Tours,89.45%
67,Volkswagen Group China,100.00%,exact,1.0000,6.6367,Volkswagen Group China,100.00%,Volkswagen China,99.04%,VOLKSWAGEN CHINA INVESTMENT COMPANY LTD,84.49%,Volkswagen Group Japan,76.56%,Volkswagen Group Australia,75.70%
68,Sun Tx,100.00%,exact,1.0000,6.6129,Sun Tx,100.00%,Sun City Texas,77.10%,Standard Sun,73.71%,Sun City,73.46%,Sun Am,73.38%
69,Southern Vermont Deerfield Valley Chamber of commerce,100.00%,exact,1.0000,5.6302,Southern Vermont Deerfield Valley Chamber of commerce,100.00%,Deerfield Beach Chamber of Commerce,66.75%,Chamber of Commerce Mid-Ohio Valley,65.76%,Northwest Valley Chamber of Commerce,62.28%,South Valley Chamber of Commerce,62.01%
70,DGR Ministries,100.00%,exact,1.0000,6.6632,DGR Ministries,100.00%,DG Ministries,76.31%,Power Ministries,74.51%,Impact Ministries,73.51%,Progressive Ministries,73.15%
71,Impacto 6,100.00%,exact,1.0000,6.0651,Impacto 6,100.00%,Impacto 52,83.78%,Impacto Strategies,83.39%,Impacto Vital,81.21%,Triple Impacto,81.02%
72,"Neos Therapeutics, Inc.",100.00%,exact,1.0000,5.0271,"Neos Therapeutics, Inc.",100.00%,Neos Therapeutics,93.68%,Neos Therapeutics LP,85.25%,"Neogene Therapeutics, Inc.",76.88%,Neogene Therapeutics,73.98%
73,International Tax Institute,100.00%,exact,1.0000,6.2213,International Tax Institute,100.00%,INTERNATIONAL TAX INSTITUTE INC,97.72%,International Property Tax Institute,92.25%,National Tax Institute,90.41%,International Tax & Auditing Institute,87.82%
74,Mitsubishi M501G,100.00%,exact,1.0000,6.4161,Mitsubishi M501G,100.00%,NEC Mitsubishi,78.09%,Mitsubishi Power,77.88%,Mitsubishi Motors,77.87%,MITSUBISHI MOTOR,77.84%
75,Huskies Sports,100.00%,exact,1.0000,7.6570,Huskies Sports,100.00%,Huskies Basketball,77.10%,Miami Huskies,75.90%,Mass Huskies,75.62%,Huskies Hockey League,75.40%
76,Acacia Pharma Group Inc.,100.00%,exact,1.0000,5.8416,Acacia Pharma Group Inc.,100.00%,"ACACIA PHARMA, Inc.",94.13%,Acacia Pharma,92.20%,Acacia Pharma Ltd,91.70%,Acacia Research Group,77.37%
77,Acumatica Summit 2017 Z7NWPDKS625,100.00%,exact,1.0000,5.0161,Acumatica Summit 2017 Z7NWPDKS625,100.00%,Acumatica User Group Southeast,52.82%,Contact Center Compliance Summit,51.70%,Acumatica Asia,50.26%,ACUMATICA PRESIDENTS CLUB,49.56%
78,Linklaters CIS,100.00%,exact,1.0000,5.8690,Linklaters CIS,100.00%,CIS Partners,76.22%,Cis GmbH,75.81%,One Cis,75.71%,CIS Method,75.64%
79,Christian Girls Family Ministry,100.00%,exact,1.0000,6.1701,Christian Girls Family Ministry,100.00%,Christian Girls Family Ministry Training,88.38%,Christian Faith Fellowship Couples Ministry,74.49%,Christian Family Fellowship Church,74.47%,FRIENDSHIP CHRISTIAN CHURCH MINISTRY,74.36%
80,Alosa Foundation,100.00%,exact,1.0000,6.0562,Alosa Foundation,100.00%,Formosa Foundation,70.52%,CL Foundation,66.37%,CAP Foundation,66.08%,FIRST FOUNDATION,65.99%
81,La Chaine des Rotisseurs Wine Club of Newport Beach,100.00%,exact,1.0000,5.1572,La Chaine des Rotisseurs Wine Club of Newport Beach,100.00%,La Chaine des Rotisseurs Wine Club of Ne,82.59%,Newport Beach Wine Festival,52.85%,Southern Trace Wine Club,49.11%,Cleveland Wine Club,42.39%
82,"Sumner & Ryan, LLC",100.00%,exact,1.0000,5.1454,"Sumner & Ryan, LLC",100.00%,Miller Ryan LLC,77.16%,Ryan Moving LLC,77.10%,Ryan Companies,76.38%,Sumner 360,75.11%
83,Tilt Creative & Production,100.00%,exact,1.0000,5.7906,Tilt Creative & Production,100.00%,Tilt Creative + Production,95.08%,Creative Production Design,79.84%,Creative Production Incentives,77.10%,Tilt Production,74.53%
84,Cerberus Capital,100.00%,exact,1.0000,5.8753,Cerberus Capital,100.00%,Cerberus Capital Management,90.21%,Cerberus Capital Management L,88.00%,Cerberus Capital Management LP,87.39%,*Cerberus Capital,82.49%
85,Institute of Health Technology Transformation,100.00%,exact,1.0000,5.4643,Institute of Health Technology Transformation,100.00%,Institute for Health Technology Transformation,95.82%,INSTITUTE FOR HEALTH & TECHNOLOGY TRANSFORMATION,92.33%,Health Science Technology Education,77.33%,Achieve Health Care Technology,75.73%
86,The Jones Assembly,100.00%,exact,1.0000,6.2758,The Jones Assembly,100.00%,The Jones Assembly Presents,87.75%,General Assembly,74.35%,1st Assembly,74.35%,Bill Jones,74.14%
87,American Black Film Insitutute,100.00%,exact,1.0000,5.3551,American Black Film Insitutute,100.00%,American Black Film Festival,81.58%,American Black Film Festival Ventures,80.19%,Black Women Film Preservation,74.05%,HOLLYWOOD BLACK FILM FESTIVAL,72.57%
88,Berk Tek,100.00%,exact,1.0000,5.7643,Berk Tek,100.00%,Berk-Tek,89.37%,Berk Tek / Leviton,82.78%,Berk Tck,74.57%,Berk Technologies,73.29%
89,Northbridge Travel,100.00%,exact,1.0000,6.9056,Northbridge Travel,100.00%,Northbridge Communities,77.23%,Bridge Travel,77.15%,WestBridge Travel,77.13%,Northbridge Environmental,76.84%
90,Kohler 2024,100.00%,exact,1.0000,5.8510,Kohler 2024,100.00%,Destination Kohler,81.44%,Kohler Distributing,81.43%,Kohler Fixtures,80.42%,Kohler Generators,80.13%
91,Louisiana State University Swim,100.00%,exact,1.0000,6.4700,Louisiana State University Swim,100.00%,Louisiana State Univ Swim,88.37%,LOUISIANA STATE UNIVERSITY ATHLETICS,80.17%,Louisiana State University USA,80.12%,Louisiana State University Health,79.84%
92,X DO NOT USE - FRANCIS PARKER SCHOOL,100.00%,exact,1.0000,4.8480,X DO NOT USE - FRANCIS PARKER SCHOOL,100.00%,Francis Parker School,65.19%,Francis Parker School English Department,58.57%,Francis Parker School of San Diego,57.93%,Francis Parker High School,57.41%
93,"Mitsubishi Motor Sales of America, Incorporated",100.00%,exact,1.0000,5.4720,"Mitsubishi Motor Sales of America, Incorporated",100.00%,Mitsubishi Motor Sales of America,97.74%,Mitsubishi Electronic Sales America,85.44%,Mitsubishi Motors Sales of America,85.43%,Mitsubishi Motor Sales of Caribbean,83.66%
94,Energy Distribution Partners Holdings',100.00%,exact,1.0000,5.6703,Energy Distribution Partners Holdings',100.00%,Energy Distribution Partners,80.53%,Energy Distribution Partners Holdings L.P.,80.30%,Energy Products Distribution,71.58%,Distribution Energy Financial Group,71.51%
95,ThinkAdvisor,100.00%,exact,1.0000,5.6218,ThinkAdvisor,100.00%,Planadvisor,46.48%,TRIPADVISOR,45.70%,NeXtAdvisors,45.31%,Invisors,43.33%
96,Jump on it Outreach,100.00%,exact,1.0000,5.8716,Jump on it Outreach,100.00%,Air Force Outreach Program,60.70%,Above N Beyond Outreach,60.69%,Outreach,59.81%,OutReach Program Development,56.67%
97,The Association of Ringside Consultants (ARC),100.00%,exact,1.0000,4.7512,The Association of Ringside Consultants (ARC),100.00%,Association of Ringside Physicians,69.04%,Ringside,56.43%,Arc-Consultants,54.60%,"Ringside, Incorporated",54.19%
98,SFA HASA,100.00%,exact,1.0000,5.8660,SFA HASA,100.00%,SFA Companies,77.60%,SFA Leads,77.30%,Sfa Charter,76.36%,SFA Partners,76.35%
99,Grupo Duracell Ene 2025,100.00%,exact,1.0000,5.1445,Grupo Duracell Ene 2025,100.00%,Grupo GT5 Brasil,50.57%,Duracell Research Development,50.16%,Grupo Brasil DPE,50.08%,Duracell Brasil,49.41%
100,World Association of Medical Law,100.00%,exact,1.0000,5.2650,World Association of Medical Law,100.00%,World Association for Medical Law,96.50%,World Medical Association,78.08%,International Law Association,70.07%,Pacific Medical Law,69.97%
