Case #,Query,Top Match,Score,Score %,Match Type,String Score,Semantic Score,Match 1 Name,Match 1 Score,Match 1 Type,Match 2 Name,Match 2 Score,Match 2 Type,Match 3 Name,Match 3 Score,Match 3 Type,Match 4 Name,Match 4 Score,Match 4 Type,Match 5 Name,Match 5 Score,Match 5 Type,Match 6 Name,Match 6 Score,Match 6 Type,Match 7 Name,Match 7 Score,Match 7 Type,Match 8 Name,Match 8 Score,Match 8 Type,Match 9 Name,Match 9 Score,Match 9 Type,Match 10 Name,Match 10 Score,Match 10 Type,Match 11 Name,Match 11 Score,Match 11 Type,Match 12 Name,Match 12 Score,Match 12 Type,Match 13 Name,Match 13 Score,Match 13 Type,Match 14 Name,Match 14 Score,Match 14 Type,Match 15 Name,Match 15 Score,Match 15 Type,Match 16 Name,Match 16 Score,Match 16 Type,Match 17 Name,Match 17 Score,Match 17 Type,Match 18 Name,Match 18 Score,Match 18 Type,Match 19 Name,Match 19 Score,Match 19 Type,Match 20 Name,Match 20 Score,Match 20 Type
21,Synergy Soccer Club,Synergy Soccer Club,1.0000,100.00,exact,1.0000,6.1949,Synergy Soccer Club,100.00%,exact,Synergy Football Club,81.77%,hybrid,Synergy Volleyball Club,80.58%,hybrid,Alliance Soccer Club,78.63%,hybrid,FC Alliance Soccer Club,78.30%,hybrid,Advantage Soccer Club,78.29%,hybrid,Kitsap Soccer Club,78.28%,hybrid,Synergy Chain Investors Club,77.86%,hybrid,Polish Soccer Club,77.81%,hybrid,Synergy Gymnastics Booster Club,77.45%,hybrid,AC Alliance Soccer Club,77.20%,hybrid,Nordic Soccer Club,77.13%,hybrid,Soccer Club,69.89%,hybrid,Club CO Soccer,68.49%,hybrid,Synergy Sports Worldwide,59.07%,hybrid,Synergy Sports Marketing,58.85%,hybrid,Synergy Dance Team,57.93%,hybrid,Synergy Sports Technology,57.86%,hybrid,Synergy Volleyball Team,57.83%,hybrid,Synergy Sports World Wide,57.43%,hybrid
22,NFC Forum,NFC Forum,1.0000,100.00,exact,1.0000,7.1179,NFC Forum,100.00%,exact,NFC Forum         .,96.60%,hybrid,NFC Forum Members,90.00%,hybrid,Near Field Communications Forum (NFC Forum),75.45%,hybrid,NFC Fighting,73.84%,hybrid,NFC Orientation,73.44%,hybrid,NFC Consulting,73.23%,hybrid,NFC MARKETING,73.04%,hybrid,NFC Life,72.36%,hybrid,NFC Amenity,72.18%,hybrid,NFC Insurance,72.17%,hybrid,Eagles Forum,71.90%,hybrid,NFC Tabagators,70.93%,hybrid,Nfc Services Inc.,70.66%,hybrid,NFC Insurance/NFC Life,70.18%,hybrid,WIMA NFC USA,69.91%,hybrid,Forum Nexus,69.89%,hybrid,NFC Professional Selling Group,69.85%,hybrid,NFC Amenity Management,69.77%,hybrid,Nexus Forum,69.60%,hybrid
23,A Better Choice Limousine & Concierge,A Better Choice Limousine & Concierge,1.0000,100.00,exact,1.0000,5.7189,A Better Choice Limousine & Concierge,100.00%,exact,First Choice Limousine Services,76.73%,hybrid,Capital Travel Limousine,55.44%,hybrid,Chicago Limousine Transportation,54.27%,hybrid,1st Class Limousine,54.27%,hybrid,A Formal Limousine Services,54.05%,hybrid,Luxury Limousine and Entertainment,53.98%,hybrid,National Limousine Association,53.97%,hybrid,District Executive Limousine,53.90%,hybrid,Greater Atlanta Limousine,53.89%,hybrid,VIP Limousine Service,53.87%,hybrid,My Limousine Service,53.82%,hybrid,VA Limousine Association,53.67%,hybrid,Capital Travel & Limousine,53.57%,hybrid,Mint Life Limousine,53.48%,hybrid,Colorado Limousine Association,53.29%,hybrid,Prestige Limousine,53.14%,hybrid,Windy City Limousine,53.10%,hybrid,Executive Limousine,51.79%,hybrid,Limousine Livery,51.44%,hybrid
24,Danish Sisterhood of America,Danish Sisterhood of America,1.0000,100.00,exact,1.0000,5.6578,Danish Sisterhood of America,100.00%,exact,The Danish Sisterhood of America,97.40%,hybrid,Danish Sisterhood and Brotherhood of America,90.22%,hybrid,Danish Brotherhood & Danish Sisterhood of America,86.08%,hybrid,DANISH BROTHERHOOD AND DANISH SISTERHOOD OF AMERICA,85.73%,hybrid,Danish Sisterhood of the Americas,82.69%,hybrid,DANISH SISTERHOOD,77.64%,hybrid,The Dansih Sisterhood of America,77.38%,hybrid,Danish Sisterhood of Amercia,75.79%,hybrid,Inspire Global Sisterhood,58.04%,hybrid,21st Century Sisterhood,57.94%,hybrid,Sisters Across America,57.32%,hybrid,Baltimore Hebrew Sisterhood,56.48%,hybrid,PEO Sisterhood International,56.47%,hybrid,Temple Israel Sisterhood,56.44%,hybrid,Sisterhood Saturday DC,56.43%,hybrid,SAZ National Sisterhood,56.32%,hybrid,Global Sisterhood,55.15%,hybrid,Global Sisterhood,55.15%,hybrid,Living Sisterhood,52.22%,hybrid
25,Brooklyn Comics Club,Brooklyn Comics Club,1.0000,100.00,exact,1.0000,6.6312,Brooklyn Comics Club,100.00%,exact,Brooklyn Baseball Club,79.95%,hybrid,Brooklyn NY Film Club,79.75%,hybrid,North Brooklyn Comic Book Club,79.50%,hybrid,Brooklyn Ski Club,79.08%,hybrid,Brooklyn Conversation Club,78.90%,hybrid,Brooklyn Football Club,78.84%,hybrid,New Brooklyn Book Club,78.48%,hybrid,Brooklyn College Diversity Club,76.85%,hybrid,Brooklyn Barbell Club,76.81%,hybrid,Municipal Club of Brooklyn,76.61%,hybrid,Brooklyn Creative Artists,59.13%,hybrid,Brooklyn Comic Con by,58.21%,hybrid,BROOKLYN COMMUNITY CENTER,57.72%,hybrid,Brooklyn Music School,57.51%,hybrid,Brooklyn Art Library,57.43%,hybrid,Brooklyn Music Week,57.39%,hybrid,Brooklyn Comedy Festival,57.24%,hybrid,Brooklyn Borough Hall,57.23%,hybrid,Brooklyn Film Festival,57.17%,hybrid
26,Global Interagency Security Forum,Global Interagency Security Forum,1.0000,100.00,exact,1.0000,5.5384,Global Interagency Security Forum,100.00%,exact,Cyber Security Collaboration Forum,76.75%,hybrid,Infrastructure Security and Resilience Forum,76.43%,hybrid,The Cyber Security Forum Initiative,76.32%,hybrid,NY Cyber Security Forum,75.90%,hybrid,Executive Security Action Forum,75.52%,hybrid,Security Network Forum,74.64%,hybrid,International Security Forum,74.09%,hybrid,BITS Security Forum,72.27%,hybrid,Info Security Forum,71.37%,hybrid,Information Security Forum,71.17%,hybrid,Westcon Security Forum,71.01%,hybrid,Cargo Security Forum,70.48%,hybrid,Security Forum,68.78%,hybrid,Information Security Forum Limited,68.76%,hybrid,Global Network Security,67.35%,hybrid,Integrity Global Security,66.87%,hybrid,Global Security Services,66.38%,hybrid,Global Security Service,66.19%,hybrid,Global Cyber Security,66.09%,hybrid
27,Lancet Software,Lancet Software,1.0000,100.00,exact,1.0000,6.1951,Lancet Software,100.00%,exact,Lancet Technology,76.83%,hybrid,"Lancet Technology, Incorporated",72.39%,hybrid,JAT Software,71.43%,hybrid,CAS Software,71.26%,hybrid,Agile Software,70.27%,hybrid,Med Software,70.03%,hybrid,BRICT Software,69.66%,hybrid,Quest Software,69.56%,hybrid,Griffin Software,69.56%,hybrid,BST Software,69.54%,hybrid,PROFESSIONAL SOFTWARE,69.54%,hybrid,Tech Software,69.51%,hybrid,SIS Software,69.48%,hybrid,Software Technology,69.47%,hybrid,Caliber Software,69.38%,hybrid,Boston Software,69.38%,hybrid,FRS Software,69.34%,hybrid,Jasc Software,69.19%,hybrid,Software Pursuits,69.15%,hybrid
28,Our Lady of the Lakes Catholic Church and School,Our Lady of the Lakes Catholic Church and School,1.0000,100.00,exact,1.0000,4.8732,Our Lady of the Lakes Catholic Church and School,100.00%,exact,OUR LADY OF THE LAKES CATHOLIC CHURCH,88.83%,hybrid,Our Lady of the Lakes Catholic School,87.91%,hybrid,Our Lady of the Lake Roman Catholic Church,83.62%,hybrid,Our Lady of the Lake Catholic Church,80.29%,hybrid,Our Lady Guadalupe Catholic Church,77.58%,hybrid,Our Lady of Health Catholic Church,77.55%,hybrid,Our Lady of the Lake Catholic Parish,75.50%,hybrid,Our Lady of The Lakes Church,75.38%,hybrid,Our Lady Lake Church,72.21%,hybrid,Our Lady of the Lake Church,68.70%,hybrid,Lakes Catholic,63.07%,hybrid,Lake Catholic High School,55.95%,hybrid,Lakeshore Catholic High School,55.72%,hybrid,River Lakes Community Church,55.12%,hybrid,St Elizabeth Catholic School,54.46%,hybrid,Garden Lakes Baptist Church,53.74%,hybrid,HOLY CATHOLIC CHURCH,49.19%,hybrid,Lakes Church,45.75%,hybrid,Island Catholic Schools,42.59%,hybrid
29,Broadway Bound International,Broadway Bound International,1.0000,100.00,exact,1.0000,6.0455,Broadway Bound International,100.00%,exact,Broadway Bound West,87.19%,hybrid,Broadway Bound Kids,85.76%,hybrid,Bound Four Broadway,85.71%,hybrid,Broadway Bound Studio,85.57%,hybrid,Broadway Bound Dance,84.66%,hybrid,Broadway Bound Childrens Theatre,82.83%,hybrid,Broadway Bound Kidz,82.67%,hybrid,Broadway Bound,80.95%,hybrid,Broadway Asia International,77.65%,hybrid,Broadway Across American,62.69%,hybrid,Broadway Across Am,61.58%,hybrid,BROADWAY NATIONAL TOUR,60.21%,hybrid,Broadway Meets Country,60.14%,hybrid,Destination Broadway,58.74%,hybrid,Broadway,57.83%,hybrid,Broadway Worldwide,56.99%,hybrid,Broadway Beyond,56.98%,hybrid,Beyond Broadway,56.60%,hybrid,Broadway Travel,56.35%,hybrid
30,E. H. Wachs,E. H. Wachs,1.0000,100.00,exact,1.0000,5.3830,E. H. Wachs,100.00%,exact,E.H. Wachs,61.28%,hybrid,Wachs Water Services,58.18%,hybrid,Wachs / Russell Wedding,57.45%,hybrid,Wachs Services,57.15%,hybrid,Elen Wachs,57.04%,hybrid,Aecon-Wachs,51.63%,hybrid,WACHSA,40.78%,hybrid,Wachsman,37.81%,hybrid,AACHS,37.31%,hybrid,Wachsman PR,36.61%,hybrid,GCHS,35.70%,hybrid,Steven Fuchs,35.67%,hybrid,Fuchs,35.31%,hybrid,COCHS,35.29%,hybrid,John Wichser,34.72%,hybrid,Wachsman PR Limited,33.91%,hybrid,Hannochs,33.43%,hybrid,Brachs,33.31%,hybrid,Ilka Fuchs,33.09%,hybrid
31,Marine Corps Fox 2/5,Marine Corps Fox 2/5,1.0000,100.00,exact,1.0000,5.6733,Marine Corps Fox 2/5,100.00%,exact,United State Marine Corps,77.04%,hybrid,Marine Corps Personnel Support,76.93%,hybrid,American US Marine Corps,76.90%,hybrid,MARINE CORPS BASE CAMP,76.89%,hybrid,Marine Corps Community Service,76.80%,hybrid,Marine Corps Support Facility,76.74%,hybrid,US Marine Corps Intelligence,76.61%,hybrid,United States Marine Corps,76.57%,hybrid,US Marine Corps HMM 161,76.57%,hybrid,Marine Corps Air Station,76.49%,hybrid,Young US Marine Corps,76.49%,hybrid,Marine Corps League National,76.48%,hybrid,Navy Marine Corps Reserve,76.47%,hybrid,Navy Marine Corps Ball,76.43%,hybrid,Navy Marine Corps Liaison,76.39%,hybrid,US Marine Corps Veterans,76.33%,hybrid,US Marine Corps 4th Marine Division,76.25%,hybrid,National Marine Corps League,76.23%,hybrid,Marine Corps Community Services,76.21%,hybrid
32,Fantasia Turistica,Fantasia Turistica,1.0000,100.00,exact,1.0000,6.5232,Fantasia Turistica,100.00%,exact,Fantasia Travels,77.55%,hybrid,Fantasia Travel,76.65%,hybrid,Fantasia Accessry,75.39%,hybrid,Ferrari Fantasia,75.12%,hybrid,Fantasia Home Parties,72.86%,hybrid,Franquia Fantasia,72.42%,hybrid,Fantasia by Stohler,72.16%,hybrid,Fantasia Veneziana,72.04%,hybrid,Noreen Fantasia,71.98%,hybrid,Bobo Entertainment Fantasia Tour,70.02%,hybrid,Fantasia Travel PreCruise Group,69.18%,hybrid,Fantasia,68.59%,hybrid,Grupo Fantasia Eventos y Producciones,68.50%,hybrid,Operadora Turistica,68.38%,hybrid,Azteca Turistica,68.00%,hybrid,"Fantasia Comic Con, LLC",67.82%,hybrid,MGM Operadora Turistica,67.05%,hybrid,Master Operadora Turistica,67.01%,hybrid,Pallas Operadora Turistica,66.92%,hybrid
33,Esoterix,Esoterix,1.0000,100.00,exact,1.0000,6.2666,Esoterix,100.00%,exact,Esoterix Headquarters,85.89%,hybrid,Esoterix Integrated Genetics,83.75%,hybrid,CENTRIX,42.58%,hybrid,Metrix,42.55%,hybrid,Verix,41.96%,hybrid,Netrix,41.91%,hybrid,Lectrix,41.65%,hybrid,Isometrix,41.49%,hybrid,Corix,41.41%,hybrid,Vmetrix,40.98%,hybrid,Metametrix,40.90%,hybrid,TYMETRIX,40.73%,hybrid,Vectrix,40.57%,hybrid,Cimetrix,40.47%,hybrid,Spprix,39.68%,hybrid,Symetrix,39.63%,hybrid,Performatrix,39.41%,hybrid,NATRIX,39.31%,hybrid,Autometrix,39.15%,hybrid
34,Coker Group,Coker Group,1.0000,100.00,exact,1.0000,6.3617,Coker Group,100.00%,exact,The Coker Group,90.08%,hybrid,Coker College,85.75%,hybrid,Coker Family Reunion,85.67%,hybrid,Coker Consultants,84.86%,hybrid,Coker University,84.73%,hybrid,Coker Law,84.57%,hybrid,Coker Coaters,84.54%,hybrid,Coker Legal,84.53%,hybrid,Coker Capital,84.20%,hybrid,Coker Cheerleading Group,84.02%,hybrid,Coker Grp,83.51%,hybrid,Betty Coker,83.33%,hybrid,Friends of Leslie Coker,83.12%,hybrid,Kristen Coker,82.82%,hybrid,Coker Law Firm,82.55%,hybrid,Coker Capital Advisors,82.55%,hybrid,Coker James,82.38%,hybrid,COKE,54.02%,hybrid,CoKeM,50.30%,hybrid
35,GILEAD IT,GILEAD IT,1.0000,100.00,exact,1.0000,6.3824,GILEAD IT,100.00%,exact,Gilead Productions,77.28%,hybrid,Gilead Science,77.26%,hybrid,Gilead Sciences,76.99%,hybrid,Gilead 1N,76.77%,hybrid,Gilead Services,76.18%,hybrid,GILEAD MEDICAL,76.05%,hybrid,GILEAD PHARMACEUTICAL,75.53%,hybrid,Gilead Media,75.28%,hybrid,Gilead Canada,75.20%,hybrid,Gilead Finance,75.07%,hybrid,Gilead Pharmaceuticals,74.69%,hybrid,Baltimore Gilead,74.56%,hybrid,Gilead 3 Productions,74.12%,hybrid,GILEAD SCIENTISTS,74.06%,hybrid,GILEAD (GILEAD SCIENCES INC),74.05%,hybrid,Gilead Regional,73.75%,hybrid,Gilead Ministries,73.53%,hybrid,Gilead Alberta,73.48%,hybrid,Gilead Investigators,73.43%,hybrid
36,4143 Affiliate INDA 2016,4143 Affiliate INDA 2016,1.0000,100.00,exact,1.0000,6.0685,4143 Affiliate INDA 2016,100.00%,exact,1528 Affiliate INDA 2016,84.11%,hybrid,4143 Affiliate Aan 2017,75.58%,hybrid,430 Affiliate ALA 2016,72.18%,hybrid,1035 Affiliate CASE 2016,71.30%,hybrid,1035 AFSA Affiliate 2016,70.29%,hybrid,00430 Affiliate 2016 Cardiometabolic,70.20%,hybrid,1035 Affiliate AFSA 2016,70.12%,hybrid,430 Affiliate ASM 2016,70.11%,hybrid,430 NAVBO Affiliate 2016,70.08%,hybrid,430 Affiliate NALP 2016,70.03%,hybrid,ASA AFFILIATE ACCOUNT 2016,69.78%,hybrid,SEPA - Affiliate Account 2016,69.73%,hybrid,4143 Affiliates ASTRO 2016,67.71%,hybrid,2016 Google Affiliate,65.82%,hybrid,AACR AFFILIATE 2016,65.47%,hybrid,AASA Affiliate 2016,64.99%,hybrid,ADC 2016 Affiliate,63.77%,hybrid,2016 GROUP AFFILIATE MEETINGS,63.47%,hybrid,CCA 2016 AFFILIATE,63.27%,hybrid
37,Pipe and Plant Solutions,Pipe and Plant Solutions,1.0000,100.00,exact,1.0000,5.9348,Pipe and Plant Solutions,100.00%,exact,Pipe & Plant,79.49%,hybrid,Advanced Pipe Solutions,78.91%,hybrid,TV Pipe Solutions,73.75%,hybrid,Infra Pipe Solutions,73.69%,hybrid,Plant Solutions Limited,68.08%,hybrid,Pipe,59.48%,hybrid,Pipe Line Contractors,59.46%,hybrid,Texas Pipe Works,59.44%,hybrid,Specialized Pipe Technologies,58.35%,hybrid,Plumbers & Pipe Fitters,58.27%,hybrid,Cal Pipe Industries,58.09%,hybrid,Pipe Products,56.71%,hybrid,PIPE TOOLS,55.87%,hybrid,Plant Operations,54.58%,hybrid,Custom Pipe,53.44%,hybrid,Plant Products,53.28%,hybrid,Bell Pipe,52.86%,hybrid,Allied Pipe,52.81%,hybrid,Pipe Fitters,52.80%,hybrid
38,Stephen Rourke,Stephen Rourke,1.0000,100.00,exact,1.0000,6.7151,Stephen Rourke,100.00%,exact,Rourke Publishing,73.36%,hybrid,Damon Rourke,72.66%,hybrid,Rourke Manufacturing,71.54%,hybrid,Rourke Rooms,68.93%,hybrid,Rourke Educational Media,68.84%,hybrid,Rourke,67.85%,hybrid,Stephen Scott,67.79%,hybrid,Stephen Shea,67.52%,hybrid,Rourke and Ashley,67.49%,hybrid,Laing O' Rourke,67.40%,hybrid,Stephen Young,67.00%,hybrid,Stephen Oh,66.89%,hybrid,O Rourke & Assoc,66.70%,hybrid,Stephen Lacy,66.66%,hybrid,Stephen Brain,66.61%,hybrid,Rourke & Blumenthal,66.61%,hybrid,O Rourke & Associates,66.37%,hybrid,Stephen Lane,66.06%,hybrid,Stephen Michael,66.04%,hybrid
39,MIT Initiative on the Digital Economy,MIT Initiative on the Digital Economy,1.0000,100.00,exact,1.0000,5.2696,MIT Initiative on the Digital Economy,100.00%,exact,MIT Energy Initiative,55.71%,hybrid,MIT Information Services and Technology,44.17%,hybrid,MIT INFORMATION SERVICES,42.05%,hybrid,MIT Information Systems,40.58%,hybrid,MIT Global Initiatives,40.47%,hybrid,MIT Dept of Economic,38.03%,hybrid,MIT Technology Review,36.38%,hybrid,MIT Development Services,36.10%,hybrid,MIT Corporate Development,36.06%,hybrid,MIT Tech,35.80%,hybrid,MIT Resource Development,35.04%,hybrid,MIT Tech Conference,34.84%,hybrid,MIT Distributors,34.71%,hybrid,MIT Info Systems,34.55%,hybrid,MIT Financial,34.40%,hybrid,MIT Enterprise Forum,34.03%,hybrid,MIT App Inventor,33.71%,hybrid,MiTAC Computing Technology,33.31%,hybrid,MIT COOPERATIVE,32.62%,hybrid
40,Urx Community USA,Urx Community USA,1.0000,100.00,exact,1.0000,6.0693,Urx Community USA,100.00%,exact,USA Community Service Commission,72.07%,hybrid,Florida Urological Society USA,59.57%,hybrid,Uratta National Association USA,56.79%,hybrid,URX Conference,51.90%,hybrid,Sites USA,51.37%,hybrid,URENCO USA,50.99%,hybrid,EDX USA,50.83%,hybrid,US Community,47.35%,hybrid,Community Link,45.93%,hybrid,Community Path,45.45%,hybrid,US Communities,38.69%,hybrid,United Communities,36.55%,hybrid,Communities United,36.39%,hybrid,York Communities,35.35%,hybrid,American Communities,35.30%,hybrid,Hometown America Communities,33.91%,hybrid,American Campus Communities,33.77%,hybrid,American Residential Communities,32.79%,hybrid,Urology Society of America,32.64%,hybrid
41,Spredfast Engage,Spredfast Engage,1.0000,100.00,exact,1.0000,5.6944,Spredfast Engage,100.00%,exact,Spredfast Events,77.66%,hybrid,Spredfast Product,73.88%,hybrid,Spredfast,67.51%,hybrid,Shredfast,39.50%,hybrid,Steadfast PR,39.25%,hybrid,Redfast,38.49%,hybrid,HyperFast Agent,38.27%,hybrid,Superfast Business,38.21%,hybrid,Steadfast Management,38.21%,hybrid,Wordfast Training,37.87%,hybrid,Steadfast Living,37.86%,hybrid,Steadfast REIT,37.17%,hybrid,ProcessFast,37.02%,hybrid,Steadfast Forward,37.01%,hybrid,Steadfast REITs,36.72%,hybrid,Wordfast,36.57%,hybrid,Standfast Interactive,36.48%,hybrid,FormFast,36.40%,hybrid,Steadfast Communications,36.29%,hybrid
42,City of Dallas-Parks & Recreation,City of Dallas-Parks & Recreation,1.0000,100.00,exact,1.0000,5.4947,City of Dallas-Parks & Recreation,100.00%,exact,City of Dallas Park & Recreation,87.04%,hybrid,Dallas Parks and Recreation Department,86.55%,hybrid,Dallas Parks and Recreation Dept,86.49%,hybrid,City of Dallas Park & Recreation Department,84.34%,hybrid,Baltimore City Recreation and Parks,83.72%,hybrid,Dallas Parks and Recreation,81.68%,hybrid,Baltimore City Parks and Recreation Department,81.48%,hybrid,City of Miami Parks & Recreation,81.44%,hybrid,PARKS FOR DOWNTOWN DALLAS,79.63%,hybrid,DALLAS PARK & RECREATION DEPARTMENT,77.59%,hybrid,Texas Recreation & Parks Society,75.67%,hybrid,PALM SPRINGS PARKS RECREATION,75.63%,hybrid,Texas Parks and Recreation Society,74.86%,hybrid,Philadelphia Parks & Recreation Outdoor Experience Program,74.46%,hybrid,City Career Fair Dallas,74.39%,hybrid,DC Department of Parks & Recreation,74.14%,hybrid,Seattle Parks & Recreation,70.62%,hybrid,Philadelphia Parks & Recreation,70.59%,hybrid,RECREATION PARKS DEPARTMENT,70.21%,hybrid
43,"Kai Pono Builders, Inc.","Kai Pono Builders, Inc.",1.0000,100.00,exact,1.0000,4.9379,"Kai Pono Builders, Inc.",100.00%,exact,Kai Pono Builders,95.62%,hybrid,Pono Kai Resort,73.30%,hybrid,Pono Kai,67.69%,hybrid,Kai Partners,53.09%,hybrid,S Kai,52.27%,hybrid,Kai Kai Lam,52.02%,hybrid,"Kaipona Builders, Incorporated",51.71%,hybrid,"KAI Partners, Inc.",51.15%,hybrid,Kai Kai Communications,50.69%,hybrid,KAI Research,50.60%,hybrid,Kai USA Ltd,50.10%,hybrid,Kai Hawaii Company,49.91%,hybrid,Kai Kani,49.89%,hybrid,Kai Trade,49.89%,hybrid,Ian Kai,49.83%,hybrid,Colt Builders,49.71%,hybrid,HONUA KAI,49.40%,hybrid,Argus Builders,49.10%,hybrid,Kai USA,49.01%,hybrid
44,MUSICFIRST COALITION,MUSICFIRST COALITION,1.0000,100.00,exact,1.0000,6.3148,MUSICFIRST COALITION,100.00%,exact,music FIRST Coalition,75.99%,hybrid,Future of Music Coalition,74.26%,hybrid,District New Music Coalition,73.61%,hybrid,Coalition BEATS Music Program,72.91%,hybrid,Black Music Action Coalition,72.22%,hybrid,Black Music Coalition Action,72.14%,hybrid,The Coalition for Music Education,71.26%,hybrid,Coalition of Music Stores,70.64%,hybrid,CDFI Coalition,70.45%,hybrid,Musicfirst,64.07%,hybrid,Music Allies,39.32%,hybrid,Music Promotions,38.56%,hybrid,Music Movement Organization,38.47%,hybrid,Music Strategy,35.77%,hybrid,Music Ally,35.62%,hybrid,MUSIC STRATEGIES,35.38%,hybrid,IDEAL Music Collective,35.30%,hybrid,Music Moves,34.86%,hybrid,United Music Alliance,34.83%,hybrid
45,Frontier Power Products,Frontier Power Products,1.0000,100.00,exact,1.0000,6.8330,Frontier Power Products,100.00%,exact,Frontier Business Products,79.01%,hybrid,Frontier Natural Products,76.74%,hybrid,Advanced Power Products,76.41%,hybrid,Worldwide Power Products,76.35%,hybrid,Power Service Products,76.22%,hybrid,Frontier Products,72.56%,hybrid,Power Products,69.54%,hybrid,Frontier Building Supply,57.46%,hybrid,Frontier Supply Chain Solutions,57.44%,hybrid,Frontier Pro Services,56.79%,hybrid,Frontier Energy,53.09%,hybrid,Frontier Utilities,52.81%,hybrid,Frontier Line,52.54%,hybrid,Frontier Solutions,52.42%,hybrid,Frontier Developments,52.32%,hybrid,FRONTIER RESOURCES,52.29%,hybrid,Frontier Services,52.17%,hybrid,Frontier Lines,52.10%,hybrid,Frontier Security,52.08%,hybrid
46,1960,1960,1.0000,100.00,exact,1.0000,6.9894,1960,100.00%,exact,District 1960,85.36%,hybrid,60,81.09%,hybrid,Playhouse 1960,80.32%,hybrid,1960 Family Practice,80.17%,hybrid,PAGE CLASS OF 1960,79.43%,hybrid,NFA Class of 1960,78.59%,hybrid,1961,55.14%,hybrid,1966,54.09%,hybrid,1963,54.06%,hybrid,1950,53.51%,hybrid,1962,52.93%,hybrid,1964,52.60%,hybrid,1970,52.19%,hybrid,1965,51.41%,hybrid,1968,51.23%,hybrid,1967,50.91%,hybrid,1956,50.69%,hybrid,1969,49.57%,hybrid,1909,48.84%,hybrid
47,Pacific Northwest Diabetes Research Inst,Pacific Northwest Diabetes Research Inst,1.0000,100.00,exact,1.0000,5.6710,Pacific Northwest Diabetes Research Inst,100.00%,exact,Pacific Northwest Diabetes Research,83.86%,hybrid,Diabetes Research,59.03%,hybrid,Diabetes Research Wellness Foundation,57.30%,hybrid,Junior Diabetes Research Foundation,57.07%,hybrid,Diabetes Research Institute Foundation,56.81%,hybrid,Diabetes Research Institute,53.80%,hybrid,Diabetes Research Association,52.54%,hybrid,Diabetes Research & Wellness,50.94%,hybrid,The Diabetes Research Foundation,50.90%,hybrid,Northern Diabetes Health Network,42.74%,hybrid,Presbyterian Diabetes Resource Center,41.60%,hybrid,Northern Diabetes Health,41.29%,hybrid,Bayer Diabetes Care Northeast,39.25%,hybrid,California Diabetes Program,38.24%,hybrid,National Diabetes Education Initiative,37.46%,hybrid,West Central Area Diabetes,36.66%,hybrid,National Diabetes Association,36.53%,hybrid,Canadian Diabetes Association,36.31%,hybrid,International Diabetes Federation,34.81%,hybrid
48,Mentors & Mentees,Mentors & Mentees,1.0000,100.00,exact,1.0000,5.8988,Mentors & Mentees,100.00%,exact,RE Mentors,75.66%,hybrid,TRUE Mentors,75.60%,hybrid,Master Mentors,75.53%,hybrid,3 Mentors,75.20%,hybrid,Mentors Inc.,61.23%,hybrid,Mentor Mate,52.12%,hybrid,Mentor Event,51.82%,hybrid,Mentor Meetings,50.30%,hybrid,Mentor Meeting,49.78%,hybrid,Mentor 2 Mentor,48.96%,hybrid,Mentor Masters,48.38%,hybrid,Mentor 4,46.97%,hybrid,Mentor X,46.47%,hybrid,Mentor Lumber,46.36%,hybrid,Mentor Health,46.16%,hybrid,Mentor POST,45.99%,hybrid,Mentor Leaders,45.83%,hybrid,MENTOR MEETINGS  EVENTS,45.45%,hybrid,Mentor Collective,45.37%,hybrid
49,NaLA 2024 fall conference M01709226216947 02-29-24 12:03:46,NaLA 2024 fall conference M01709226216947 02-29-24 12:03:46,1.0000,100.00,exact,1.0000,4.6847,NaLA 2024 fall conference M01709226216947 02-29-24 12:03:46,100.00%,exact,NaLA 2023 fall conference M01674569043113 01-24-23 09:04:06,69.42%,hybrid,NaLA 2023 fall conference M01674661235470 01-25-23 10:40:54,67.18%,hybrid,NALSC 2024 Annual Conference M01680804350265 04-06-23 14:05:56,44.72%,hybrid,HBMA 2024 Fall Conference,40.62%,hybrid,Ascend Annual Conference 2023 M01689096187969 07-11-23 13:23:11,39.33%,hybrid,Fall Series 2025 M01738617336927 02-03-25 16:15:38,38.80%,hybrid,CWG US Conference 2022 M01639062306301 12-09-21 10:05:10,38.69%,hybrid,Large Conference M01652296916362 05-11-22 15:22:01,37.57%,hybrid,OPSC Fall Conference 2025,35.24%,hybrid,NACA Conference 2024,35.15%,hybrid,2022 PLSO Fall Conference,33.84%,hybrid,2025 NAAP Conference,33.43%,hybrid,NNU Conference 2025,33.38%,hybrid,NABG Conference 2022,33.36%,hybrid,NAYGN 2024 Conference,33.19%,hybrid,2024 NACA CONFERENCE,33.18%,hybrid,2022 CVTA Fall Conference,32.93%,hybrid,CAAK Conference 2026,32.65%,hybrid,NAVUB Conference 2023,32.39%,hybrid
